"Integration with DNS record","Integration with DNS record"
"Integration without DNS record","Integration without DNS record"
"Ad Scout","Ad Scout"
General,General
Settings,Settings
Enable,Enable
"Enable the AdScout module","Enable the AdScout module"
"API Token","API Token"
"API TOKEN COMMENT.","API TOKEN COMMENT."
"API Code","API Code"
"API CODE COMMENT.","API CODE COMMENT."
Integration,Integration
"Integration type.","Integration type."
"CSV url","CSV url"
